,date,state,dose1_daily,dose2_daily,total_daily,dose1_cumul,dose2_cumul,total_cumul
1649,2021-06-07,Kedah,2926,3,2929,167438,70584,238022
1665,2021-06-08,Kedah,8373,1543,9916,175811,72127,247938
1681,2021-06-09,Kedah,6872,3172,10044,182683,75299,257982
1697,2021-06-10,Kedah,6110,3694,9804,188793,78993,267786
1713,2021-06-11,Kedah,1583,687,2270,190376,79680,270056
1729,2021-06-12,Kedah,1026,836,1862,191402,80516,271918
1745,2021-06-13,Kedah,4534,4541,9075,195936,85057,280993
1761,2021-06-14,Kedah,4238,5574,9812,200174,90631,290805
1777,2021-06-15,Kedah,4228,4416,8644,204402,95047,299449
1793,2021-06-16,Kedah,3789,982,4771,208191,96029,304220
1809,2021-06-17,Kedah,3697,5093,8790,211888,101122,313010
1825,2021-06-18,Kedah,1646,1124,2770,213534,102246,315780
1841,2021-06-19,Kedah,186,3067,3253,213720,105313,319033
1857,2021-06-20,Kedah,590,1906,2496,214310,107219,321529
1873,2021-06-21,Kedah,2897,7296,10193,217207,114515,331722
1889,2021-06-22,Kedah,2988,8082,11070,220195,122597,342792
1905,2021-06-23,Kedah,1312,10129,11441,221507,132726,354233
1921,2021-06-24,Kedah,1732,10423,12155,223239,143149,366388
1937,2021-06-25,Kedah,392,4028,4420,223631,147177,370808
1953,2021-06-26,Kedah,305,2942,3247,223936,150119,374055
1969,2021-06-27,Kedah,600,10165,10765,224536,160284,384820
1985,2021-06-28,Kedah,4433,3464,7897,228969,163748,392717
2001,2021-06-29,Kedah,1403,8511,9914,230372,172259,402631
2017,2021-06-30,Kedah,1926,6448,8374,232298,178707,411005
