date,state,dose1_daily,dose2_daily,total_daily,dose1_cumul,dose2_cumul,total_cumul
2021-06-15,Pahang,6048,1635,7683,155955,97746,253701
2021-06-16,Pahang,5199,85,5284,161154,97831,258985
2021-06-17,Pahang,3209,377,3586,164363,98208,262571
2021-06-18,Pahang,3188,391,3579,167551,98599,266150
2021-06-19,Pahang,910,1206,2116,168461,99805,268266
2021-06-20,Pahang,1225,18,1243,169686,99823,269509
2021-06-21,Pahang,6156,1460,7616,175842,101283,277125
2021-06-22,Pahang,7086,1835,8921,182928,103118,286046
2021-06-23,Pahang,4497,4158,8655,187425,107276,294701
2021-06-24,Pahang,2896,5834,8730,190321,113110,303431
2021-06-25,Pahang,2772,4023,6795,193093,117133,310226
2021-06-26,Pahang,4204,1847,6051,197297,118980,316277
2021-06-27,Pahang,407,4012,4419,197704,122992,320696
2021-06-28,Pahang,7080,170,7250,204784,123162,327946
2021-06-29,Pahang,4455,5150,9605,209239,128312,337551
2021-06-30,Pahang,4102,5889,9991,213341,134201,347542
2021-07-01,Pahang,3102,4853,7955,216443,139054,355497
2021-07-02,Pahang,3059,3617,6676,219502,142671,362173
