date,state,dose1_daily,dose2_daily,total_daily,dose1_cumul,dose2_cumul,total_cumul
2021-06-20,Perlis,2135,5,2140,55786,27626,83412
2021-06-21,Perlis,1905,1870,3775,57691,29496,87187
2021-06-22,Perlis,1829,1907,3736,59520,31403,90923
2021-06-23,Perlis,1652,2052,3704,61172,33455,94627
2021-06-24,Perlis,979,2215,3194,62151,35670,97821
2021-06-25,Perlis,1353,1196,2549,63504,36866,100370
2021-06-26,Perlis,462,781,1243,63966,37647,101613
2021-06-27,Perlis,2140,29,2169,66106,37676,103782
2021-06-28,Perlis,570,2,572,66676,37678,104354
2021-06-29,Perlis,279,880,1159,66955,38558,105513
2021-06-30,Perlis,301,1422,1723,67256,39980,107236
2021-07-01,Perlis,512,1629,2141,67768,41609,109377
2021-07-02,Perlis,734,979,1713,68502,42588,111090
