date,state,dose1_daily,dose2_daily,total_daily,dose1_cumul,dose2_cumul,total_cumul
2021-06-14,Terengganu,3981,2329,6310,103267,63727,166994
2021-06-15,Terengganu,4026,2194,6220,107293,65921,173214
2021-06-16,Terengganu,5241,220,5461,112534,66141,178675
2021-06-17,Terengganu,3333,1987,5320,115867,68128,183995
2021-06-18,Terengganu,0,0,0,115867,68128,183995
2021-06-19,Terengganu,128,477,605,115995,68605,184600
2021-06-20,Terengganu,3034,2306,5340,119029,70911,189940
2021-06-21,Terengganu,3838,2259,6097,122867,73170,196037
2021-06-22,Terengganu,3497,3377,6874,126364,76547,202911
2021-06-23,Terengganu,3463,3828,7291,129827,80375,210202
2021-06-24,Terengganu,3658,2819,6477,133485,83194,216679
2021-06-25,Terengganu,85,9,94,133570,83203,216773
2021-06-26,Terengganu,5951,378,6329,139521,83581,223102
2021-06-27,Terengganu,3866,3077,6943,143387,86658,230045
2021-06-28,Terengganu,4289,473,4762,147676,87131,234807
2021-06-29,Terengganu,3974,466,4440,151650,87597,239247
2021-06-30,Terengganu,4054,1935,5989,155704,89532,245236
2021-07-01,Terengganu,4406,726,5132,160110,90258,250368
2021-07-02,Terengganu,1182,23,1205,161292,90281,251573
