date,state,dose1_daily,dose2_daily,total_daily,dose1_cumul,dose2_cumul,total_cumul
2021-06-15,Sabah,12662,4252,16914,267001,116366,383367
2021-06-16,Sabah,15797,1874,17671,282798,118240,401038
2021-06-17,Sabah,12006,4477,16483,294804,122717,417521
2021-06-18,Sabah,10776,5121,15897,305580,127838,433418
2021-06-19,Sabah,11301,4128,15429,316881,131966,448847
2021-06-20,Sabah,6469,1060,7529,323350,133026,456376
2021-06-21,Sabah,8957,1131,10088,332307,134157,466464
2021-06-22,Sabah,9695,1303,10998,342002,135460,477462
2021-06-23,Sabah,7908,5534,13442,349910,140994,490904
2021-06-24,Sabah,7126,7940,15066,357036,148934,505970
2021-06-25,Sabah,6646,9174,15820,363682,158108,521790
2021-06-26,Sabah,5365,8909,14274,369047,167017,536064
2021-06-27,Sabah,3374,6684,10058,372421,173701,546122
2021-06-28,Sabah,2846,7124,9970,375267,180825,556092
2021-06-29,Sabah,3352,7865,11217,378619,188690,567309
2021-06-30,Sabah,2546,8907,11453,381165,197597,578762
