date,state,dose1_daily,dose2_daily,total_daily,dose1_cumul,dose2_cumul,total_cumul
2021-02-24,Kelantan,0,0,0,0,0,0
2021-02-25,Kelantan,0,0,0,0,0,0
2021-02-26,Kelantan,0,0,0,0,0,0
2021-02-27,Kelantan,0,0,0,0,0,0
2021-02-28,Kelantan,162,0,162,162,0,162
2021-03-01,Kelantan,1801,0,1801,1963,0,1963
2021-03-02,Kelantan,2873,0,2873,4836,0,4836
2021-03-03,Kelantan,3407,0,3407,8243,0,8243
2021-03-04,Kelantan,3412,0,3412,11655,0,11655
2021-03-05,Kelantan,741,0,741,12396,0,12396
2021-03-06,Kelantan,0,0,0,12396,0,12396
2021-03-07,Kelantan,223,0,223,12619,0,12619
2021-03-08,Kelantan,1197,0,1197,13816,0,13816
2021-03-09,Kelantan,1018,0,1018,14834,0,14834
2021-03-10,Kelantan,797,0,797,15631,0,15631
2021-03-11,Kelantan,356,0,356,15987,0,15987
2021-03-12,Kelantan,0,0,0,15987,0,15987
2021-03-13,Kelantan,0,0,0,15987,0,15987
2021-03-14,Kelantan,72,0,72,16059,0,16059
2021-03-15,Kelantan,466,0,466,16525,0,16525
2021-03-16,Kelantan,664,0,664,17189,0,17189
2021-03-17,Kelantan,1363,0,1363,18552,0,18552
2021-03-18,Kelantan,714,0,714,19266,0,19266
2021-03-19,Kelantan,0,0,0,19266,0,19266
2021-03-20,Kelantan,360,0,360,19626,0,19626
2021-03-21,Kelantan,362,147,509,19988,147,20135
2021-03-22,Kelantan,377,1703,2080,20365,1850,22215
2021-03-23,Kelantan,18,2770,2788,20383,4620,25003
2021-03-24,Kelantan,19,3282,3301,20402,7902,28304
2021-03-25,Kelantan,47,2807,2854,20449,10709,31158
2021-03-26,Kelantan,10,697,707,20459,11406,31865
2021-03-27,Kelantan,0,0,0,20459,11406,31865
2021-03-28,Kelantan,3,496,499,20462,11902,32364
2021-03-29,Kelantan,418,1545,1963,20880,13447,34327
2021-03-30,Kelantan,715,1019,1734,21595,14466,36061
2021-03-31,Kelantan,560,777,1337,22155,15243,37398
