date,state,dose1_daily,dose2_daily,total_daily,dose1_cumul,dose2_cumul,total_cumul
2021-06-18,Johor,7127,1913,9040,361166,151140,512306
2021-06-19,Johor,8693,9942,18635,369859,161082,530941
2021-06-20,Johor,7331,6387,13718,377190,167469,544659
2021-06-21,Johor,8127,8611,16738,385317,176080,561397
2021-06-22,Johor,9639,7629,17268,394956,183709,578665
2021-06-23,Johor,9262,8792,18054,404218,192501,596719
2021-06-24,Johor,10222,7372,17594,414440,199873,614313
2021-06-25,Johor,7512,1467,8979,421952,201340,623292
2021-06-26,Johor,4890,10457,15347,426842,211797,638639
2021-06-27,Johor,3303,10817,14120,430145,222614,652759
2021-06-28,Johor,6806,1827,8633,436951,224441,661392
2021-06-29,Johor,6470,8798,15268,443421,233239,676660
2021-06-30,Johor,6850,11161,18011,450271,244400,694671
2021-07-01,Johor,7650,11696,19346,457921,256096,714017
